day,month,year,opening_value,close_value,min_value,max_value,volume
12,12,2007,15719.400,15860.000,15679.200,15983.400,4407609
11,12,2007,15903.500,15890.500,15771.800,15906.800,3075894
10,12,2007,15760.900,15832.700,15739.900,15892.700,3440374
7,12,2007,15786.100,15819.600,15759.500,15855.500,3191980
6,12,2007,15889.500,15695.900,15667.100,15901.400,3031099
5,12,2007,15805.800,15802.200,15737.600,15849.200,3567727
4,12,2007,15715.500,15708.200,15615.000,15804.000,3787936
3,12,2007,15767.100,15735.000,15710.000,15846.500,3046800
30,11,2007,15660.500,15759.900,15643.500,15799.200,4964607
29,11,2007,15666.100,15656.600,15485.100,15692.600,4355693
28,11,2007,15392.600,15566.500,15229.400,15592.600,4616366
27,11,2007,15287.400,15315.600,15165.100,15346.200,4247966
26,11,2007,15476.800,15330.200,15294.000,15575.300,3706743
23,11,2007,15318.000,15392.200,15267.000,15400.800,3271905
22,11,2007,15416.900,15317.100,15272.400,15456.800,3117022
21,11,2007,15550.700,15364.500,15294.700,15568.200,4485967
20,11,2007,15622.100,15700.000,15485.800,15698.700,4983505
19,11,2007,15770.300,15539.300,15544.000,15935.300,4532093
16,11,2007,15634.400,15769.000,15560.000,15826.200,5149950
15,11,2007,15795.900,15725.800,15661.000,15871.000,4407226
14,11,2007,15913.900,15808.900,15754.200,15943.600,4713467
13,11,2007,15710.600,15814.800,15634.400,15824.500,4785735
12,11,2007,15660.500,15774.700,15648.400,15821.900,4144273
8,11,2007,15647.200,15945.700,15612.600,15968.400,6543307
7,11,2007,15920.500,15841.900,15640.200,15955.300,4856996
6,11,2007,15925.500,15895.400,15868.600,15966.400,3635601
5,11,2007,15708.800,15825.900,15685.500,15846.400,3986698
2,11,2007,15652.100,15823.700,15652.100,15862.600,4354453
1,11,2007,15864.100,15759.600,15622.600,15928.300,3615088
31,10,2007,15794.400,15890.500,15729.000,15897.300,4094656
30,10,2007,15716.600,15782.500,15676.600,15792.300,3878185
29,10,2007,15703.600,15738.100,15680.700,15775.600,3575920
26,10,2007,15436.400,15603.900,15418.700,15652.700,4223939
25,10,2007,15393.200,15386.000,15323.500,15407.800,4281955
24,10,2007,15417.900,15231.300,15187.500,15443.100,3909259
23,10,2007,15398.200,15429.600,15363.700,15479.500,4444612
22,10,2007,15254.600,15327.800,15199.300,15363.100,4063840
19,10,2007,15476.300,15529.700,15472.100,15627.300,4660878
18,10,2007,15478.700,15507.100,15406.200,15569.600,5251202
17,10,2007,15272.000,15430.500,15218.100,15489.300,5070748
16,10,2007,15156.800,15279.700,15114.600,15309.500,4614955
15,10,2007,15275.900,15187.500,15185.100,15310.000,5190807
12,10,2007,15056.700,15261.300,14991.600,15264.200,4777002
11,10,2007,14912.000,15100.000,14877.800,15142.200,5569077
10,10,2007,14884.300,14863.800,14807.900,14917.200,3298960
9,10,2007,14810.800,14862.700,14754.600,14907.300,3645234
8,10,2007,14915.200,14809.000,14801.600,14921.300,2307965
5,10,2007,14741.800,14892.100,14712.600,14900.400,3449095
4,10,2007,14754.300,14718.000,14711.000,14801.800,4465211
3,10,2007,14755.600,14783.800,14723.300,14800.300,3564254
2,10,2007,14722.100,14790.000,14697.000,14817.600,4935202
1,10,2007,14519.000,14603.000,14443.900,14629.100,5012345
28,9,2007,14577.000,14576.500,14460.300,14618.400,3775292
27,9,2007,14614.700,14581.600,14550.900,14704.500,4122934
26,9,2007,14376.600,14513.700,14373.800,14552.700,3912804
25,9,2007,14408.100,14311.900,14224.000,14446.100,3642644
24,9,2007,14439.400,14494.700,14404.000,14550.200,2676528
21,9,2007,14395.200,14450.600,14383.600,14550.100,5246951
20,9,2007,14400.100,14427.100,14342.500,14458.200,3906577
19,9,2007,14338.500,14494.800,14314.800,14537.500,6853565
18,9,2007,13594.600,14042.000,13594.600,14045.700,4878092
17,9,2007,13819.300,13696.900,13519.100,13822.200,4706364
14,9,2007,14017.500,13861.000,13765.900,14025.500,4027723
13,9,2007,13928.900,14077.800,13835.200,14101.400,4350087
12,9,2007,13950.400,13980.400,13838.500,13992.700,4029721
11,9,2007,13833.800,13965.500,13775.900,13991.700,3572835
10,9,2007,13862.000,13726.300,13703.600,13935.800,4221339
7,9,2007,14148.800,13873.400,13816.300,14210.100,4587566
6,9,2007,14281.200,14198.400,14050.500,14345.700,4355107
5,9,2007,14545.900,14240.100,14243.900,14562.100,3612595
4,9,2007,14475.900,14590.100,14437.800,14593.100,2783912
3,9,2007,14517.700,14546.900,14467.100,14561.100,1821515
31,8,2007,14380.200,14479.800,14370.500,14529.000,3348801
30,8,2007,14285.900,14313.400,14127.100,14346.100,2846702
29,8,2007,14034.100,14183.600,14014.100,14209.300,2914387
28,8,2007,14294.300,14124.800,14091.100,14300.500,2672854
27,8,2007,14388.600,14305.500,14291.500,14403.400,1536216
24,8,2007,14201.500,14334.400,14195.100,14350.000,2099599
23,8,2007,14461.500,14292.500,14308.800,14482.100,2886502
22,8,2007,14297.600,14359.200,14287.400,14412.200,2802343
21,8,2007,14288.000,14239.800,14067.100,14324.200,3091673
20,8,2007,14277.900,14269.100,14228.900,14381.300,3224397
17,8,2007,13936.800,14237.500,13841.600,14375.600,5695028
16,8,2007,14254.100,13979.700,13959.900,14295.700,5263437
15,8,2007,14442.900,14520.500,14367.100,14547.500,2943853
14,8,2007,14606.700,14553.100,14519.500,14733.400,3287605
13,8,2007,14568.700,14731.800,14552.100,14754.000,3570176
10,8,2007,14604.200,14453.900,14434.200,14703.500,5829188
